Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
13/09/2023,"29,100.00","28,700.00","29,400.00","28,700.00",25.99M,1.22%
12/9/2023,"28,750.00","28,000.00","28,750.00","27,700.00",22.62M,2.68%
11/9/2023,"28,000.00","29,000.00","29,050.00","27,750.00",47.70M,-2.61%
8/9/2023,"28,750.00","28,500.00","29,150.00","28,400.00",33.79M,0.35%
7/9/2023,"28,650.00","29,000.00","29,300.00","28,500.00",33.67M,-1.21%
6/9/2023,"29,000.00","27,750.00","29,000.00","27,400.00",52.57M,4.32%
5/9/2023,"27,800.00","27,800.00","27,950.00","27,250.00",24.50M,0.72%
31/08/2023,"27,600.00","27,400.00","27,900.00","27,300.00",25.93M,1.47%
30/08/2023,"27,200.00","27,000.00","27,250.00","26,750.00",20.14M,0.74%
29/08/2023,"27,000.00","26,900.00","27,150.00","26,700.00",17.97M,0.56%
28/08/2023,"26,850.00","26,000.00","26,850.00","26,000.00",22.82M,3.47%
25/08/2023,"25,950.00","26,200.00","26,400.00","25,950.00",21.85M,-1.33%
24/08/2023,"26,300.00","25,650.00","26,300.00","25,600.00",16.60M,2.53%
23/08/2023,"25,650.00","26,350.00","26,450.00","25,650.00",21.77M,-1.91%
22/08/2023,"26,150.00","26,200.00","26,350.00","25,100.00",35.17M,-0.19%
21/08/2023,"26,200.00","26,450.00","26,550.00","25,900.00",31.44M,-1.13%
18/08/2023,"26,500.00","27,900.00","28,000.00","26,200.00",41.05M,-5.69%
17/08/2023,"28,100.00","28,000.00","28,700.00","28,000.00",46.60M,0.54%
16/08/2023,"27,950.00","27,950.00","28,000.00","27,650.00",14.99M,0.00%
15/08/2023,"27,950.00","28,150.00","28,250.00","27,850.00",17.94M,-0.71%
14/08/2023,"28,150.00","27,800.00","28,350.00","27,650.00",44.95M,1.62%
11/8/2023,"27,700.00","27,400.00","27,750.00","27,150.00",23.38M,1.28%
10/8/2023,"27,350.00","27,900.00","27,900.00","27,300.00",17.06M,-1.62%
9/8/2023,"27,800.00","27,200.00","27,850.00","27,050.00",42.66M,2.21%
8/8/2023,"27,200.00","27,600.00","27,900.00","27,150.00",25.57M,-1.27%
7/8/2023,"27,550.00","27,550.00","27,750.00","27,300.00",23.09M,0.73%
4/8/2023,"27,350.00","26,800.00","27,500.00","26,800.00",22.17M,1.86%
3/8/2023,"26,850.00","27,350.00","27,500.00","26,500.00",58.03M,-2.36%
2/8/2023,"27,500.00","27,400.00","27,850.00","27,250.00",18.52M,0.00%
1/8/2023,"27,500.00","28,100.00","28,100.00","27,500.00",28.01M,-2.48%
31/07/2023,"28,200.00","28,200.00","28,250.00","27,350.00",45.53M,-0.35%
28/07/2023,"28,300.00","28,400.00","28,600.00","28,150.00",22.70M,-0.35%
27/07/2023,"28,400.00","28,400.00","28,700.00","28,100.00",21.32M,0.00%
26/07/2023,"28,400.00","28,250.00","28,450.00","28,150.00",22.87M,0.53%
25/07/2023,"28,250.00","28,250.00","28,350.00","28,000.00",20.23M,0.00%
24/07/2023,"28,250.00","28,450.00","28,600.00","28,000.00",17.16M,-0.53%
21/07/2023,"28,400.00","28,350.00","28,400.00","28,100.00",18.46M,0.71%
20/07/2023,"28,200.00","27,300.00","28,200.00","27,300.00",30.87M,2.92%
19/07/2023,"27,400.00","27,100.00","27,700.00","27,050.00",15.38M,0.74%
18/07/2023,"27,200.00","27,300.00","27,350.00","27,050.00",12.40M,-0.37%
17/07/2023,"27,300.00","27,700.00","27,750.00","27,200.00",12.53M,-0.73%
14/07/2023,"27,500.00","27,150.00","27,500.00","27,050.00",17.08M,1.66%
13/07/2023,"27,050.00","27,500.00","27,500.00","26,900.00",14.01M,0.19%
12/7/2023,"27,000.00","27,300.00","27,450.00","26,650.00",27.76M,-1.10%
11/7/2023,"27,300.00","27,800.00","28,050.00","27,250.00",24.01M,-1.44%
10/7/2023,"27,700.00","27,450.00","27,950.00","27,350.00",24.27M,0.91%
7/7/2023,"27,450.00","26,900.00","27,450.00","26,500.00",22.61M,1.67%
6/7/2023,"27,000.00","26,900.00","27,150.00","26,500.00",27.61M,0.19%
5/7/2023,"26,950.00","26,400.00","27,200.00","26,250.00",31.80M,2.67%
4/7/2023,"26,250.00","26,150.00","26,250.00","25,900.00",19.73M,0.19%
3/7/2023,"26,200.00","26,200.00","26,450.00","25,900.00",17.06M,0.19%
30/06/2023,"26,150.00","25,700.00","26,200.00","25,650.00",23.07M,1.36%
29/06/2023,"25,800.00","26,650.00","26,700.00","25,800.00",36.80M,-3.01%
28/06/2023,"26,600.00","26,000.00","26,700.00","25,900.00",30.31M,3.10%
27/06/2023,"25,800.00","25,350.00","25,800.00","25,100.00",19.94M,2.38%
26/06/2023,"25,200.00","25,400.00","25,500.00","24,700.00",20.40M,-0.79%
23/06/2023,"25,400.00","24,850.00","25,550.00","24,750.00",29.16M,2.21%
