"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","11,350.0","11,400.0","11,400.0","10,900.0","4.38M","6.07%"
"12/09/2023","10,700.0","10,200.0","10,700.0","10,100.0","2.04M","4.90%"
"11/09/2023","10,200.0","10,750.0","10,750.0","10,200.0","2.30M","-3.77%"
"08/09/2023","10,600.0","10,650.0","10,800.0","10,550.0","1.24M","-0.47%"
"07/09/2023","10,650.0","10,650.0","10,900.0","10,550.0","2.91M","0.95%"
"06/09/2023","10,550.0","10,200.0","10,650.0","10,100.0","2.40M","3.43%"
"05/09/2023","10,200.0","10,400.0","10,500.0","10,150.0","1.60M","-1.45%"
"31/08/2023","10,350.0","10,500.0","10,550.0","10,250.0","1.27M","0.00%"
"30/08/2023","10,350.0","10,200.0","10,450.0","9,980.0","1.80M","1.47%"
"29/08/2023","10,200.0","9,800.0","10,400.0","9,800.0","2.08M","4.19%"
"28/08/2023","9,790.0","9,760.0","9,800.0","9,560.0","631.60K","0.62%"
"25/08/2023","9,730.0","9,600.0","9,800.0","9,300.0","931.10K","1.57%"
"24/08/2023","9,580.0","9,400.0","9,620.0","9,300.0","911.30K","1.38%"
"23/08/2023","9,450.0","9,700.0","9,710.0","9,400.0","828.10K","-1.15%"
"22/08/2023","9,560.0","9,300.0","9,650.0","8,810.0","1.77M","5.05%"
"21/08/2023","9,100.0","9,070.0","9,350.0","8,800.0","1.46M","-3.60%"
"18/08/2023","9,440.0","10,150.0","10,150.0","9,440.0","2.09M","-7.00%"
"17/08/2023","10,150.0","10,200.0","10,450.0","10,150.0","1.84M","0.00%"
"16/08/2023","10,150.0","10,200.0","10,250.0","10,000.0","1.20M","-0.98%"
"15/08/2023","10,250.0","10,500.0","10,550.0","10,200.0","746.40K","-1.91%"
"14/08/2023","10,450.0","10,300.0","10,600.0","9,990.0","2.06M","2.45%"
"11/08/2023","10,200.0","10,150.0","10,250.0","9,680.0","1.86M","0.49%"
"10/08/2023","10,150.0","10,900.0","10,950.0","10,150.0","3.36M","-6.88%"
"09/08/2023","10,900.0","10,700.0","11,000.0","10,650.0","3.23M","5.83%"
"08/08/2023","10,300.0","9,800.0","10,300.0","9,400.0","3.65M","6.74%"
"07/08/2023","9,650.0","9,500.0","9,650.0","9,400.0","1.26M","3.10%"
"04/08/2023","9,360.0","9,350.0","9,480.0","9,210.0","1.21M","0.11%"
"03/08/2023","9,350.0","9,480.0","9,600.0","9,300.0","1.31M","-1.48%"
"02/08/2023","9,490.0","9,120.0","9,500.0","9,120.0","987.70K","2.26%"
"01/08/2023","9,280.0","9,750.0","9,750.0","9,250.0","1.88M","-4.62%"
"31/07/2023","9,730.0","9,660.0","9,810.0","9,510.0","1.50M","2.31%"
"28/07/2023","9,510.0","9,200.0","9,550.0","9,200.0","2.82M","3.82%"
"27/07/2023","9,160.0","8,700.0","9,160.0","8,600.0","1.93M","6.51%"
"26/07/2023","8,600.0","8,740.0","8,740.0","8,560.0","989.50K","-1.15%"
"25/07/2023","8,700.0","8,750.0","8,810.0","8,680.0","1.23M","-0.23%"
"24/07/2023","8,720.0","8,810.0","8,900.0","8,680.0","1.42M","0.11%"
"21/07/2023","8,710.0","8,640.0","8,860.0","8,640.0","1.67M","1.40%"
"20/07/2023","8,590.0","8,700.0","8,700.0","8,280.0","1.85M","-0.92%"
"19/07/2023","8,670.0","8,790.0","8,790.0","8,520.0","1.94M","2.24%"
"18/07/2023","8,480.0","7,940.0","8,480.0","7,880.0","4.29M","6.94%"
"17/07/2023","7,930.0","7,810.0","7,940.0","7,810.0","1.08M","1.02%"
"14/07/2023","7,850.0","7,900.0","7,900.0","7,750.0","1.11M","-0.38%"
"13/07/2023","7,880.0","7,910.0","7,950.0","7,850.0","887.40K","0.00%"
"12/07/2023","7,880.0","7,770.0","7,960.0","7,770.0","1.61M","1.42%"
"11/07/2023","7,770.0","7,900.0","7,900.0","7,700.0","1.04M","-0.38%"
"10/07/2023","7,800.0","7,660.0","7,830.0","7,660.0","893.40K","1.96%"
"07/07/2023","7,650.0","7,560.0","7,650.0","7,500.0","499.10K","1.19%"
"06/07/2023","7,560.0","7,700.0","7,740.0","7,450.0","1.13M","-1.82%"
"05/07/2023","7,700.0","7,850.0","7,850.0","7,690.0","924.00K","-0.65%"
"04/07/2023","7,750.0","7,680.0","7,780.0","7,600.0","1.24M","1.97%"
"03/07/2023","7,600.0","7,600.0","7,640.0","7,590.0","708.70K","0.80%"
"30/06/2023","7,540.0","7,610.0","7,670.0","7,540.0","962.50K","-0.79%"
"29/06/2023","7,600.0","7,800.0","7,800.0","7,600.0","1.36M","-2.56%"
"28/06/2023","7,800.0","7,790.0","7,880.0","7,770.0","1.32M","-0.26%"
"27/06/2023","7,820.0","7,900.0","7,940.0","7,770.0","1.47M","-0.13%"
"26/06/2023","7,830.0","8,040.0","8,050.0","7,750.0","1.84M","-3.21%"
"23/06/2023","8,090.0","7,850.0","8,150.0","7,840.0","3.02M","3.32%"
"22/06/2023","7,830.0","7,870.0","7,940.0","7,790.0","1.02M","0.00%"
"21/06/2023","7,830.0","7,750.0","7,990.0","7,750.0","1.21M","1.69%"
"20/06/2023","7,700.0","7,620.0","7,700.0","7,610.0","535.80K","1.05%"
"19/06/2023","7,620.0","7,750.0","7,780.0","7,600.0","787.10K","-1.68%"
"16/06/2023","7,750.0","7,680.0","7,990.0","7,680.0","2.77M","1.84%"
"15/06/2023","7,610.0","7,620.0","7,700.0","7,550.0","745.00K","-1.17%"
"14/06/2023","7,700.0","7,820.0","7,830.0","7,700.0","914.80K","-1.03%"
"13/06/2023","7,780.0","7,650.0","7,860.0","7,650.0","1.54M","1.97%"
"12/06/2023","7,630.0","7,650.0","7,690.0","7,520.0","577.20K","0.00%"
"09/06/2023","7,630.0","7,650.0","7,650.0","7,450.0","1.03M","0.39%"
"08/06/2023","7,600.0","7,790.0","7,840.0","7,600.0","1.57M","-3.06%"
"07/06/2023","7,840.0","7,950.0","7,950.0","7,780.0","1.10M","-0.63%"
"06/06/2023","7,890.0","7,700.0","7,890.0","7,590.0","1.82M","2.47%"
"05/06/2023","7,700.0","8,100.0","8,100.0","7,690.0","1.34M","-2.41%"
"02/06/2023","7,890.0","7,830.0","7,970.0","7,830.0","1.63M","0.90%"
"01/06/2023","7,820.0","7,750.0","7,850.0","7,690.0","1.43M","1.16%"
"31/05/2023","7,730.0","7,750.0","7,880.0","7,700.0","1.56M","-0.26%"
"30/05/2023","7,750.0","7,800.0","7,870.0","7,650.0","1.21M","-0.64%"
"29/05/2023","7,800.0","7,530.0","7,800.0","7,530.0","1.85M","4.00%"
"26/05/2023","7,500.0","7,420.0","7,500.0","7,420.0","887.80K","1.21%"
"25/05/2023","7,410.0","7,550.0","7,550.0","7,410.0","936.50K","-1.20%"
"24/05/2023","7,500.0","7,550.0","7,580.0","7,480.0","966.20K","0.54%"
"23/05/2023","7,460.0","7,590.0","7,590.0","7,450.0","831.30K","-0.13%"
"22/05/2023","7,470.0","7,480.0","7,600.0","7,460.0","678.10K","0.13%"
"19/05/2023","7,460.0","7,450.0","7,590.0","7,350.0","678.50K","0.81%"
"18/05/2023","7,400.0","7,270.0","7,600.0","7,270.0","1.18M","1.79%"
"17/05/2023","7,270.0","7,760.0","7,790.0","7,270.0","1.08M","-6.44%"
"16/05/2023","7,770.0","7,760.0","7,840.0","7,670.0","735.10K","0.13%"
"15/05/2023","7,760.0","7,860.0","8,030.0","7,750.0","1.91M","0.13%"
"12/05/2023","7,750.0","7,600.0","7,750.0","7,570.0","1.29M","1.17%"
"11/05/2023","7,660.0","7,810.0","7,830.0","7,460.0","1.49M","-1.67%"
"10/05/2023","7,790.0","7,740.0","7,810.0","7,690.0","1.31M","1.70%"
"09/05/2023","7,660.0","7,730.0","7,750.0","7,550.0","849.90K","-0.26%"
"08/05/2023","7,680.0","7,750.0","7,850.0","7,610.0","1.25M","-0.13%"
"05/05/2023","7,690.0","7,600.0","7,780.0","7,560.0","1.26M","1.32%"
"04/05/2023","7,590.0","7,170.0","7,670.0","7,170.0","3.00M","5.86%"
"28/04/2023","7,170.0","7,090.0","7,200.0","7,080.0","1.07M","1.41%"
"27/04/2023","7,070.0","7,170.0","7,170.0","7,050.0","1.01M","-1.12%"
"26/04/2023","7,150.0","6,810.0","7,150.0","6,810.0","658.90K","1.85%"
"25/04/2023","7,020.0","7,300.0","7,300.0","6,610.0","1.54M","-0.71%"
"24/04/2023","7,070.0","7,050.0","7,090.0","7,000.0","657.60K","0.14%"
"21/04/2023","7,060.0","6,900.0","7,190.0","6,900.0","1.33M","0.86%"
"20/04/2023","7,000.0","7,150.0","7,150.0","6,930.0","813.00K","0.43%"
"19/04/2023","6,970.0","7,100.0","7,190.0","6,950.0","1.02M","-1.13%"
"18/04/2023","7,050.0","7,130.0","7,130.0","6,980.0","713.40K","0.86%"
"17/04/2023","6,990.0","6,990.0","6,990.0","6,830.0","1.00M","2.79%"
"14/04/2023","6,800.0","6,900.0","7,000.0","6,800.0","734.90K","-1.45%"
"13/04/2023","6,900.0","7,000.0","7,070.0","6,900.0","1.20M","-1.29%"
"12/04/2023","6,990.0","7,150.0","7,150.0","6,990.0","1.05M","-1.83%"
"11/04/2023","7,120.0","7,180.0","7,180.0","7,000.0","1.28M","0.00%"
"10/04/2023","7,120.0","7,300.0","7,320.0","7,100.0","1.13M","-0.28%"
"07/04/2023","7,140.0","7,100.0","7,190.0","7,040.0","1.21M","0.56%"
"06/04/2023","7,100.0","7,590.0","7,620.0","7,000.0","1.56M","-4.05%"
