"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","47,000.0","47,400.0","47,500.0","46,800.0","302.00K","-0.63%"
"12/09/2023","47,300.0","47,800.0","47,800.0","47,050.0","157.00K","-1.05%"
"11/09/2023","47,800.0","47,950.0","48,100.0","47,600.0","157.20K","0.00%"
"08/09/2023","47,800.0","48,300.0","48,300.0","47,450.0","109.60K","0.63%"
"07/09/2023","47,500.0","48,700.0","48,700.0","47,500.0","220.20K","-1.86%"
"06/09/2023","48,400.0","49,000.0","49,000.0","48,400.0","108.10K","-1.53%"
"05/09/2023","49,150.0","49,450.0","49,600.0","48,400.0","323.60K","-0.71%"
"31/08/2023","49,500.0","49,100.0","49,500.0","48,300.0","254.90K","1.02%"
"30/08/2023","49,000.0","48,000.0","49,300.0","47,750.0","243.60K","3.05%"
"29/08/2023","47,550.0","47,100.0","47,600.0","46,700.0","82.90K","0.96%"
"28/08/2023","47,100.0","46,200.0","47,500.0","46,050.0","110.00K","1.95%"
"25/08/2023","46,200.0","46,450.0","46,450.0","45,850.0","47.10K","-0.32%"
"24/08/2023","46,350.0","46,050.0","46,400.0","45,600.0","123.70K","0.76%"
"23/08/2023","46,000.0","45,600.0","46,000.0","45,250.0","125.40K","0.00%"
"22/08/2023","46,000.0","45,900.0","46,100.0","45,200.0","122.10K","0.22%"
"21/08/2023","45,900.0","45,600.0","46,700.0","45,100.0","165.20K","0.00%"
"18/08/2023","45,900.0","46,050.0","46,250.0","45,200.0","315.50K","-0.86%"
"17/08/2023","46,300.0","46,900.0","46,900.0","46,300.0","115.90K","-0.75%"
"16/08/2023","46,650.0","46,500.0","46,650.0","46,200.0","128.60K","0.76%"
"15/08/2023","46,300.0","46,000.0","46,800.0","46,000.0","130.60K","0.54%"
"14/08/2023","46,050.0","46,000.0","46,400.0","46,000.0","57.10K","0.11%"
"11/08/2023","46,000.0","46,000.0","46,800.0","45,950.0","216.90K","0.00%"
"10/08/2023","46,000.0","47,500.0","47,500.0","46,000.0","351.50K","-3.16%"
"09/08/2023","47,500.0","46,200.0","47,600.0","45,900.0","319.40K","3.26%"
