"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","29,900.0","29,800.0","30,000.0","29,500.0","15.00K","-0.33%"
"12/09/2023","30,000.0","29,300.0","30,300.0","28,900.0","84.80K","3.81%"
"11/09/2023","28,900.0","28,950.0","29,100.0","28,600.0","91.00K","1.58%"
"08/09/2023","28,450.0","28,400.0","28,650.0","28,400.0","34.80K","0.18%"
"07/09/2023","28,400.0","28,700.0","28,900.0","28,400.0","63.60K","-1.05%"
"06/09/2023","28,700.0","28,600.0","28,800.0","28,300.0","35.20K","0.53%"
"05/09/2023","28,550.0","28,550.0","28,800.0","28,400.0","39.80K","0.35%"
"31/08/2023","28,450.0","28,300.0","28,600.0","28,000.0","55.50K","0.53%"
"30/08/2023","28,300.0","28,050.0","28,350.0","28,000.0","44.90K","0.53%"
"29/08/2023","28,150.0","28,150.0","28,150.0","28,000.0","30.40K","0.18%"
"28/08/2023","28,100.0","28,150.0","28,150.0","27,950.0","27.50K","-0.18%"
"25/08/2023","28,150.0","28,200.0","28,350.0","28,150.0","7.20K","-0.88%"
"24/08/2023","28,400.0","28,950.0","28,950.0","28,200.0","23.30K","0.35%"
"23/08/2023","28,300.0","28,250.0","28,300.0","28,050.0","13.80K","0.35%"
"22/08/2023","28,200.0","28,400.0","28,600.0","28,000.0","22.80K","-0.70%"
"21/08/2023","28,400.0","28,100.0","28,400.0","27,900.0","26.20K","1.07%"
"18/08/2023","28,100.0","28,700.0","28,700.0","27,850.0","49.30K","-2.77%"
"17/08/2023","28,900.0","28,900.0","29,100.0","28,650.0","22.20K","0.00%"
"16/08/2023","28,900.0","28,900.0","28,950.0","28,550.0","64.00K","0.00%"
"15/08/2023","28,900.0","29,000.0","29,100.0","28,850.0","38.40K","0.00%"
"14/08/2023","28,900.0","29,000.0","29,000.0","28,650.0","43.60K","-0.17%"
"11/08/2023","28,950.0","29,200.0","29,400.0","28,500.0","47.40K","-0.52%"
"10/08/2023","29,100.0","29,700.0","29,900.0","29,100.0","50.80K","-0.34%"
"09/08/2023","29,200.0","28,650.0","29,200.0","28,550.0","62.00K","2.28%"
"08/08/2023","28,550.0","28,450.0","28,650.0","28,300.0","33.90K","0.88%"
"07/08/2023","28,300.0","28,100.0","28,450.0","28,050.0","77.20K","0.71%"
"04/08/2023","28,100.0","28,150.0","28,150.0","28,000.0","40.30K","-0.18%"
"03/08/2023","28,150.0","28,150.0","28,400.0","28,100.0","48.90K","0.18%"
"02/08/2023","28,100.0","28,350.0","28,400.0","28,050.0","113.70K","-2.09%"
"01/08/2023","28,700.0","28,300.0","29,000.0","28,300.0","78.90K","1.77%"
"31/07/2023","28,200.0","28,150.0","28,300.0","27,950.0","30.10K","0.89%"
"28/07/2023","27,950.0","28,200.0","28,200.0","27,850.0","30.30K","-0.36%"
"27/07/2023","28,050.0","28,200.0","28,200.0","27,800.0","38.20K","-0.36%"
"26/07/2023","28,150.0","28,450.0","28,500.0","28,150.0","27.60K","-0.88%"
"25/07/2023","28,400.0","28,150.0","28,500.0","28,100.0","41.90K","0.89%"
"24/07/2023","28,150.0","27,800.0","28,150.0","27,800.0","55.50K","1.62%"
"21/07/2023","27,700.0","27,900.0","28,000.0","27,700.0","45.60K","-1.07%"
"20/07/2023","28,000.0","28,250.0","28,250.0","27,700.0","46.10K","0.00%"
"19/07/2023","28,000.0","28,400.0","28,400.0","28,000.0","27.30K","-0.71%"
"18/07/2023","28,200.0","28,250.0","28,300.0","28,050.0","26.40K","-0.18%"
"17/07/2023","28,250.0","28,450.0","28,500.0","28,150.0","31.90K","-0.18%"
"14/07/2023","28,300.0","28,350.0","28,350.0","28,050.0","20.90K","0.53%"
"13/07/2023","28,150.0","27,950.0","28,300.0","27,950.0","29.30K","0.72%"
"12/07/2023","27,950.0","28,200.0","28,200.0","27,900.0","23.50K","-0.89%"
"11/07/2023","28,200.0","27,650.0","28,350.0","27,650.0","39.10K","1.99%"
"10/07/2023","27,650.0","28,050.0","28,050.0","27,600.0","51.40K","0.18%"
"07/07/2023","27,600.0","27,250.0","27,800.0","27,250.0","81.70K","2.03%"
"06/07/2023","27,050.0","29,000.0","29,000.0","27,050.0","304.30K","-5.09%"
"05/07/2023","28,500.0","28,500.0","29,250.0","28,500.0","100.60K","0.71%"
"04/07/2023","28,300.0","30,000.0","30,000.0","28,300.0","490.00K","-6.60%"
"03/07/2023","30,300.0","30,000.0","31,200.0","29,800.0","163.00K","-0.66%"
"30/06/2023","30,500.0","29,700.0","30,900.0","29,700.0","81.70K","1.50%"
"29/06/2023","30,050.0","29,650.0","30,800.0","29,400.0","122.40K","0.33%"
"28/06/2023","29,950.0","29,200.0","29,950.0","29,000.0","130.90K","2.57%"
"27/06/2023","29,200.0","29,300.0","29,300.0","28,900.0","38.20K","0.69%"
"26/06/2023","29,000.0","29,250.0","29,250.0","28,950.0","87.20K","-0.85%"
"23/06/2023","29,250.0","28,850.0","29,250.0","28,850.0","58.30K","0.52%"
"22/06/2023","29,100.0","28,900.0","29,300.0","28,900.0","39.10K","0.69%"
"21/06/2023","28,900.0","29,000.0","29,000.0","28,500.0","46.10K","0.35%"
"20/06/2023","28,800.0","28,900.0","28,900.0","28,500.0","33.70K","-0.35%"
"19/06/2023","28,900.0","29,200.0","29,200.0","28,700.0","33.80K","-1.03%"
"16/06/2023","29,200.0","29,000.0","29,350.0","28,550.0","61.60K","-0.34%"
"15/06/2023","29,300.0","29,000.0","29,350.0","28,950.0","39.60K","1.03%"
"14/06/2023","29,000.0","29,200.0","29,600.0","28,950.0","72.50K","-0.68%"
"13/06/2023","29,200.0","29,000.0","29,500.0","29,000.0","26.00K","0.00%"
"12/06/2023","29,200.0","29,050.0","29,450.0","29,050.0","26.50K","-0.85%"
"09/06/2023","29,450.0","29,050.0","29,500.0","29,000.0","24.80K","0.00%"
"08/06/2023","29,450.0","29,800.0","30,000.0","29,400.0","12.50K","-1.17%"
"07/06/2023","29,800.0","29,700.0","29,900.0","28,950.0","76.90K","0.17%"
"06/06/2023","29,750.0","29,750.0","29,750.0","29,000.0","97.40K","0.00%"
"05/06/2023","29,750.0","29,850.0","29,850.0","29,400.0","8.90K","-0.34%"
"02/06/2023","29,850.0","29,400.0","29,850.0","28,950.0","120.60K","1.36%"
"01/06/2023","29,450.0","29,400.0","29,450.0","28,950.0","31.40K","0.17%"
"31/05/2023","29,400.0","28,950.0","29,700.0","28,850.0","28.50K","-1.51%"
"30/05/2023","29,850.0","29,550.0","30,400.0","29,150.0","47.40K","-0.83%"
"29/05/2023","30,100.0","29,400.0","30,200.0","29,400.0","34.50K","1.86%"
"26/05/2023","29,550.0","29,150.0","31,750.0","29,000.0","123.90K","-0.51%"
"25/05/2023","29,700.0","30,300.0","30,300.0","29,200.0","44.90K","-2.62%"
"24/05/2023","30,500.0","30,500.0","30,500.0","29,000.0","71.90K","0.16%"
