"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","11,600.0","11,850.0","11,850.0","11,550.0","454.40K","-0.85%"
"12/09/2023","11,700.0","11,900.0","11,900.0","11,600.0","213.30K","-0.43%"
"11/09/2023","11,750.0","11,600.0","12,050.0","11,550.0","645.00K","1.73%"
"08/09/2023","11,550.0","11,450.0","11,600.0","11,400.0","441.70K","0.87%"
"07/09/2023","11,450.0","11,550.0","11,600.0","11,350.0","166.20K","-0.43%"
"06/09/2023","11,500.0","11,400.0","11,600.0","11,350.0","166.30K","0.44%"
"05/09/2023","11,450.0","11,450.0","11,650.0","11,400.0","202.50K","0.88%"
"31/08/2023","11,350.0","11,500.0","11,500.0","11,250.0","106.50K","0.44%"
"30/08/2023","11,300.0","11,350.0","11,450.0","11,250.0","108.90K","-8.50%"
"29/08/2023","12,350.0","12,450.0","12,450.0","12,350.0","172.10K","0.00%"
"28/08/2023","12,350.0","12,200.0","12,400.0","12,150.0","302.20K","2.07%"
"25/08/2023","12,100.0","12,150.0","12,150.0","11,950.0","208.50K","-0.82%"
"24/08/2023","12,200.0","12,200.0","12,200.0","12,000.0","98.30K","0.41%"
"23/08/2023","12,150.0","12,250.0","12,250.0","12,000.0","76.20K","0.00%"
"22/08/2023","12,150.0","12,200.0","12,200.0","11,900.0","113.00K","1.25%"
"21/08/2023","12,000.0","11,800.0","12,200.0","11,800.0","252.70K","1.69%"
"18/08/2023","11,800.0","12,300.0","12,450.0","11,750.0","615.10K","-5.98%"
"17/08/2023","12,550.0","12,500.0","12,700.0","12,500.0","176.00K","0.40%"
"16/08/2023","12,500.0","12,500.0","12,600.0","12,400.0","347.60K","0.81%"
"15/08/2023","12,400.0","12,400.0","12,450.0","12,200.0","125.10K","0.00%"
"14/08/2023","12,400.0","12,300.0","12,500.0","12,300.0","126.30K","1.22%"
"11/08/2023","12,250.0","12,400.0","12,400.0","12,050.0","505.10K","-1.21%"
"10/08/2023","12,400.0","12,550.0","12,600.0","12,300.0","202.00K","-1.20%"
"09/08/2023","12,550.0","12,650.0","12,650.0","12,450.0","133.40K","-0.40%"
"08/08/2023","12,600.0","12,300.0","12,700.0","12,300.0","483.00K","2.44%"
"07/08/2023","12,300.0","12,300.0","12,350.0","12,250.0","196.10K","0.41%"
"04/08/2023","12,250.0","12,300.0","12,300.0","12,200.0","201.50K","0.00%"
"03/08/2023","12,250.0","12,300.0","12,300.0","12,150.0","165.40K","0.00%"
"02/08/2023","12,250.0","12,250.0","12,250.0","12,150.0","95.70K","0.00%"
"01/08/2023","12,250.0","12,400.0","12,450.0","12,250.0","250.90K","-0.81%"
"31/07/2023","12,350.0","12,400.0","12,500.0","12,300.0","495.20K","1.65%"
"28/07/2023","12,150.0","12,050.0","12,200.0","12,050.0","167.90K","0.83%"
"27/07/2023","12,050.0","12,200.0","12,200.0","11,950.0","242.80K","-0.41%"
"26/07/2023","12,100.0","12,150.0","12,300.0","12,100.0","147.60K","-0.41%"
"25/07/2023","12,150.0","12,400.0","12,400.0","12,150.0","156.70K","-1.22%"
"24/07/2023","12,300.0","12,350.0","12,400.0","12,150.0","201.30K","0.00%"
"21/07/2023","12,300.0","12,450.0","12,500.0","12,100.0","389.60K","0.00%"
"20/07/2023","12,300.0","12,050.0","12,300.0","11,950.0","224.80K","1.23%"
"19/07/2023","12,150.0","11,900.0","12,400.0","11,900.0","574.80K","3.40%"
"18/07/2023","11,750.0","11,850.0","11,850.0","11,700.0","104.10K","0.43%"
"17/07/2023","11,700.0","11,700.0","11,800.0","11,700.0","104.00K","-0.43%"
"14/07/2023","11,750.0","11,950.0","11,950.0","11,650.0","273.80K","-1.26%"
"13/07/2023","11,900.0","12,000.0","12,000.0","11,700.0","162.50K","0.85%"
"12/07/2023","11,800.0","11,850.0","11,900.0","11,750.0","97.50K","0.43%"
"11/07/2023","11,750.0","11,800.0","11,900.0","11,700.0","93.50K","-0.42%"
"10/07/2023","11,800.0","11,800.0","11,850.0","11,700.0","78.00K","0.85%"
"07/07/2023","11,700.0","11,650.0","11,700.0","11,550.0","90.30K","0.43%"
"06/07/2023","11,650.0","11,850.0","11,850.0","11,650.0","163.50K","-0.85%"
"05/07/2023","11,750.0","12,000.0","12,000.0","11,750.0","195.00K","-2.08%"
"04/07/2023","12,000.0","11,850.0","12,000.0","11,750.0","153.60K","1.27%"
"03/07/2023","11,850.0","11,850.0","11,850.0","11,700.0","148.60K","1.28%"
"30/06/2023","11,700.0","11,600.0","11,700.0","11,500.0","176.10K","0.00%"
"29/06/2023","11,700.0","11,950.0","11,950.0","11,700.0","239.70K","-0.85%"
"28/06/2023","11,800.0","12,000.0","12,100.0","11,750.0","171.90K","-1.26%"
"27/06/2023","11,950.0","11,550.0","12,150.0","11,550.0","554.40K","3.91%"
"26/06/2023","11,500.0","11,400.0","11,550.0","11,300.0","135.40K","0.88%"
"23/06/2023","11,400.0","11,500.0","11,650.0","11,400.0","401.60K","-0.44%"
"22/06/2023","11,450.0","11,500.0","11,650.0","11,450.0","330.20K","0.88%"
"21/06/2023","11,350.0","11,350.0","11,450.0","11,300.0","225.70K","-0.87%"
"20/06/2023","11,450.0","11,400.0","11,450.0","11,300.0","172.00K","0.88%"
"19/06/2023","11,350.0","11,400.0","11,550.0","11,350.0","158.40K","-1.30%"
"16/06/2023","11,500.0","11,900.0","11,900.0","11,450.0","269.20K","-1.29%"
"15/06/2023","11,650.0","11,100.0","11,650.0","11,050.0","906.40K","4.48%"
"14/06/2023","11,150.0","11,150.0","11,200.0","11,050.0","116.30K","-0.45%"
"13/06/2023","11,200.0","11,100.0","11,250.0","11,050.0","143.40K","0.90%"
"12/06/2023","11,100.0","11,150.0","11,200.0","10,950.0","208.90K","-0.89%"
"09/06/2023","11,200.0","11,250.0","11,250.0","11,000.0","240.10K","-0.44%"
"08/06/2023","11,250.0","11,300.0","11,350.0","11,200.0","256.20K","0.00%"
