"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","22,000.0","22,000.0","22,850.0","21,600.0","16.80M","0.69%"
"12/09/2023","21,850.0","21,200.0","21,850.0","20,900.0","15.98M","2.58%"
"11/09/2023","21,300.0","22,300.0","22,300.0","21,300.0","15.96M","-3.18%"
"08/09/2023","22,000.0","21,500.0","22,300.0","21,450.0","17.24M","2.33%"
"07/09/2023","21,500.0","21,550.0","21,800.0","21,350.0","14.74M","0.94%"
"06/09/2023","21,300.0","19,950.0","21,300.0","19,600.0","24.08M","6.77%"
"05/09/2023","19,950.0","20,150.0","20,500.0","19,750.0","9.75M","-0.25%"
"31/08/2023","20,000.0","19,950.0","20,200.0","19,700.0","11.67M","1.52%"
"30/08/2023","19,700.0","19,150.0","19,800.0","19,050.0","10.67M","3.14%"
"29/08/2023","19,100.0","19,300.0","19,500.0","18,900.0","7.68M","-0.52%"
"28/08/2023","19,200.0","18,650.0","19,300.0","18,650.0","13.01M","3.23%"
"25/08/2023","18,600.0","18,800.0","18,900.0","18,550.0","10.09M","-0.80%"
"24/08/2023","18,750.0","18,300.0","18,750.0","18,050.0","8.28M","2.46%"
"23/08/2023","18,300.0","18,650.0","18,650.0","18,300.0","5.14M","-0.54%"
"22/08/2023","18,400.0","18,800.0","18,800.0","17,500.0","10.24M","-0.27%"
"21/08/2023","18,450.0","18,600.0","18,850.0","17,950.0","11.83M","-0.81%"
"18/08/2023","18,600.0","19,850.0","19,900.0","18,600.0","27.42M","-7.00%"
"17/08/2023","20,000.0","20,500.0","20,750.0","20,000.0","15.61M","-1.96%"
"16/08/2023","20,400.0","20,600.0","20,600.0","20,200.0","7.04M","-0.97%"
"15/08/2023","20,600.0","20,200.0","20,700.0","19,900.0","15.15M","2.49%"
"14/08/2023","20,100.0","19,950.0","20,350.0","19,950.0","11.48M","1.26%"
"11/08/2023","19,850.0","18,850.0","19,900.0","18,650.0","25.03M","5.59%"
"10/08/2023","18,800.0","19,000.0","19,200.0","18,750.0","7.96M","-1.57%"
"09/08/2023","19,100.0","18,600.0","19,200.0","18,450.0","18.01M","2.14%"
"08/08/2023","18,700.0","19,100.0","19,300.0","18,650.0","13.51M","-1.58%"
"07/08/2023","19,000.0","19,150.0","19,200.0","18,800.0","11.91M","0.53%"
"04/08/2023","18,900.0","18,750.0","18,900.0","18,500.0","9.83M","1.07%"
"03/08/2023","18,700.0","18,800.0","18,800.0","18,300.0","15.59M","-0.53%"
"02/08/2023","18,800.0","18,400.0","18,900.0","18,350.0","11.52M","1.08%"
"01/08/2023","18,600.0","19,200.0","19,200.0","18,600.0","15.38M","-3.38%"
"31/07/2023","19,250.0","19,100.0","19,250.0","18,500.0","23.75M","-0.26%"
"28/07/2023","19,300.0","18,750.0","19,300.0","18,600.0","21.29M","2.93%"
"27/07/2023","18,750.0","18,700.0","18,800.0","18,250.0","16.73M","0.27%"
"26/07/2023","18,700.0","18,400.0","18,850.0","18,350.0","14.43M","2.19%"
"25/07/2023","18,300.0","18,300.0","18,700.0","18,150.0","15.19M","0.00%"
"24/07/2023","18,300.0","18,350.0","18,550.0","18,100.0","12.68M","0.55%"
"21/07/2023","18,200.0","17,650.0","18,300.0","17,550.0","19.96M","3.70%"
"20/07/2023","17,550.0","17,250.0","17,600.0","17,250.0","11.02M","1.15%"
"19/07/2023","17,350.0","17,300.0","17,500.0","17,200.0","13.94M","0.58%"
"18/07/2023","17,250.0","17,600.0","17,600.0","17,200.0","15.20M","-2.27%"
"17/07/2023","17,650.0","17,900.0","17,950.0","17,500.0","8.73M","-0.56%"
"14/07/2023","17,750.0","17,550.0","18,000.0","17,500.0","17.41M","1.43%"
"13/07/2023","17,500.0","17,600.0","17,800.0","17,450.0","9.87M","0.29%"
"12/07/2023","17,450.0","17,500.0","17,500.0","17,200.0","9.27M","0.00%"
"11/07/2023","17,450.0","17,450.0","17,550.0","17,300.0","15.90M","0.00%"
"10/07/2023","17,450.0","17,200.0","17,500.0","17,100.0","18.05M","1.45%"
"07/07/2023","17,200.0","16,350.0","17,200.0","16,250.0","22.97M","4.88%"
"06/07/2023","16,400.0","16,550.0","16,750.0","16,200.0","10.55M","-1.80%"
"05/07/2023","16,700.0","16,700.0","16,900.0","16,500.0","18.84M","0.60%"
"04/07/2023","16,600.0","16,400.0","16,600.0","16,300.0","9.86M","1.22%"
"03/07/2023","16,400.0","16,550.0","16,600.0","16,400.0","5.94M","-0.30%"
"30/06/2023","16,450.0","16,400.0","16,550.0","16,300.0","7.42M","0.30%"
"29/06/2023","16,400.0","16,900.0","16,950.0","16,400.0","12.39M","-2.38%"
"28/06/2023","16,800.0","16,900.0","17,100.0","16,700.0","13.76M","-0.59%"
"27/06/2023","16,900.0","17,000.0","17,050.0","16,600.0","14.97M","-0.29%"
"26/06/2023","16,950.0","17,100.0","17,200.0","16,500.0","12.39M","-2.31%"
"23/06/2023","17,350.0","17,450.0","17,650.0","17,250.0","18.81M","-0.29%"
"22/06/2023","17,400.0","17,250.0","17,550.0","17,000.0","24.48M","1.46%"
"21/06/2023","17,150.0","16,650.0","17,150.0","16,450.0","20.38M","3.31%"
"20/06/2023","16,600.0","16,250.0","16,600.0","16,250.0","6.20M","2.15%"
"19/06/2023","16,250.0","16,500.0","16,550.0","16,250.0","8.02M","-1.52%"
"16/06/2023","16,500.0","16,700.0","17,000.0","16,500.0","22.53M","-0.30%"
"15/06/2023","16,550.0","16,750.0","16,850.0","16,350.0","19.52M","-1.49%"
"14/06/2023","16,800.0","17,250.0","17,250.0","16,800.0","14.69M","-2.33%"
"13/06/2023","17,200.0","16,600.0","17,300.0","16,400.0","28.86M","4.24%"
"12/06/2023","16,500.0","16,550.0","16,650.0","16,100.0","16.53M","-0.30%"
"09/06/2023","16,550.0","16,300.0","16,600.0","16,250.0","14.87M","1.22%"
"08/06/2023","16,350.0","16,750.0","16,900.0","16,350.0","22.25M","-2.39%"
"07/06/2023","16,750.0","16,400.0","16,900.0","16,400.0","28.56M","4.04%"
"06/06/2023","16,100.0","15,900.0","16,200.0","15,700.0","18.95M","1.58%"
"05/06/2023","15,850.0","15,700.0","16,000.0","15,600.0","24.92M","2.26%"
"02/06/2023","15,500.0","15,250.0","15,700.0","15,250.0","15.49M","1.97%"
"01/06/2023","15,200.0","15,300.0","15,350.0","14,950.0","15.03M","-1.30%"
"31/05/2023","15,400.0","15,800.0","15,850.0","15,200.0","36.23M","-2.84%"
