"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","22,950.0","23,100.0","23,100.0","22,950.0","4.00K","-0.65%"
"12/09/2023","23,100.0","22,900.0","23,100.0","22,900.0","1.60K","-0.22%"
"11/09/2023","23,150.0","23,250.0","23,250.0","23,100.0","1.50K","0.00%"
"08/09/2023","23,150.0","23,100.0","23,150.0","23,100.0","2.20K","-0.22%"
"07/09/2023","23,200.0","22,900.0","23,200.0","22,900.0","0.20K","-0.22%"
"06/09/2023","23,250.0","23,300.0","23,300.0","22,300.0","5.30K","0.22%"
"05/09/2023","23,200.0","22,900.0","23,200.0","22,900.0","4.60K","0.87%"
"31/08/2023","23,000.0","22,900.0","23,000.0","22,900.0","2.60K","0.66%"
"30/08/2023","22,850.0","23,000.0","23,000.0","22,850.0","5.40K","-0.22%"
"29/08/2023","22,900.0","23,000.0","23,300.0","22,900.0","10.70K","-0.43%"
"28/08/2023","23,000.0","23,300.0","23,300.0","23,000.0","1.20K","0.00%"
"25/08/2023","23,000.0","23,300.0","23,300.0","23,000.0","2.10K","-1.29%"
"24/08/2023","23,300.0","22,900.0","23,300.0","22,800.0","2.90K","1.75%"
"23/08/2023","22,900.0","22,900.0","22,900.0","22,900.0","0.10K","0.00%"
"22/08/2023","22,900.0","22,900.0","22,900.0","22,800.0","2.20K","-0.87%"
"21/08/2023","23,100.0","22,500.0","23,100.0","22,500.0","7.80K","2.67%"
"18/08/2023","22,500.0","23,250.0","23,250.0","22,750.0","22.70K","-3.43%"
"17/08/2023","23,300.0","23,350.0","23,350.0","23,250.0","1.30K","-0.43%"
"16/08/2023","23,400.0","23,400.0","23,400.0","23,400.0","3.10K","0.21%"
"15/08/2023","23,350.0","23,350.0","23,350.0","23,350.0","2.50K","0.00%"
"14/08/2023","23,350.0","23,400.0","23,400.0","23,350.0","2.70K","-0.21%"
"11/08/2023","23,400.0","23,400.0","23,600.0","23,350.0","5.50K","0.00%"
"10/08/2023","23,400.0","23,300.0","23,500.0","23,300.0","5.90K","0.21%"
"09/08/2023","23,350.0","23,300.0","23,350.0","23,300.0","13.60K","0.21%"
"08/08/2023","23,300.0","23,300.0","23,300.0","23,300.0","1.80K","0.43%"
"07/08/2023","23,200.0","23,050.0","23,200.0","23,000.0","1.00K","0.87%"
"04/08/2023","23,000.0","23,150.0","23,150.0","23,000.0","2.30K","0.00%"
"03/08/2023","23,000.0","23,100.0","23,100.0","22,950.0","4.00K","0.00%"
