"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","32,350.0","32,350.0","32,350.0","32,350.0","","-3.43%"
"12/09/2023","33,500.0","34,600.0","34,600.0","33,500.0","2.30K","3.55%"
"11/09/2023","32,350.0","32,400.0","32,400.0","32,350.0","2.00K","0.00%"
"08/09/2023","32,350.0","32,150.0","32,850.0","32,150.0","1.30K","0.15%"
"07/09/2023","32,300.0","32,300.0","32,400.0","32,300.0","22.20K","0.00%"
"06/09/2023","32,300.0","32,200.0","32,300.0","32,150.0","2.20K","-0.77%"
"05/09/2023","32,550.0","32,700.0","33,900.0","32,550.0","2.10K","-0.15%"
"31/08/2023","32,600.0","32,600.0","32,700.0","32,550.0","1.60K","0.00%"
"30/08/2023","32,600.0","32,300.0","32,600.0","32,000.0","1.50K","1.88%"
"29/08/2023","32,000.0","32,700.0","32,700.0","32,000.0","0.30K","-2.29%"
"25/08/2023","32,750.0","32,750.0","32,750.0","32,750.0","1.20K","0.00%"
"24/08/2023","32,750.0","32,750.0","32,750.0","32,750.0","0.40K","0.46%"
"23/08/2023","32,600.0","32,600.0","32,600.0","32,600.0","0.30K","1.88%"
"22/08/2023","32,000.0","32,200.0","32,200.0","31,900.0","12.30K","-1.23%"
"21/08/2023","32,400.0","32,000.0","32,700.0","31,250.0","3.90K","1.25%"
"18/08/2023","32,000.0","32,500.0","32,650.0","32,000.0","2.50K","-1.84%"
"17/08/2023","32,600.0","32,800.0","32,850.0","32,600.0","0.80K","0.00%"
"16/08/2023","32,600.0","33,900.0","33,900.0","32,600.0","2.70K","0.31%"
"15/08/2023","32,500.0","34,500.0","34,500.0","32,500.0","2.20K","0.00%"
"14/08/2023","32,500.0","32,100.0","33,300.0","32,100.0","3.30K","-2.55%"
"11/08/2023","33,350.0","33,400.0","33,400.0","33,350.0","1.20K","-0.30%"
"10/08/2023","33,450.0","33,450.0","33,450.0","33,450.0","0.10K","-0.15%"
"09/08/2023","33,500.0","32,900.0","33,500.0","32,900.0","11.10K","1.82%"
