"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2023","15,200.0","15,200.0","15,500.0","15,150.0","38.20K","0.00%"
"12/09/2023","15,200.0","15,350.0","15,400.0","15,150.0","12.90K","1.00%"
"11/09/2023","15,050.0","15,150.0","15,300.0","15,050.0","45.30K","-0.99%"
"08/09/2023","15,200.0","15,200.0","15,500.0","15,050.0","62.90K","-1.94%"
"07/09/2023","15,500.0","15,800.0","15,800.0","15,500.0","41.90K","-1.90%"
"06/09/2023","15,800.0","15,400.0","15,900.0","15,250.0","3.20K","-0.63%"
"05/09/2023","15,900.0","15,650.0","15,900.0","15,650.0","9.00K","1.27%"
"31/08/2023","15,700.0","15,300.0","15,700.0","15,300.0","3.10K","0.00%"
"30/08/2023","15,700.0","15,500.0","15,850.0","15,500.0","1.70K","0.64%"
"29/08/2023","15,600.0","15,600.0","15,600.0","15,500.0","4.30K","-0.64%"
"28/08/2023","15,700.0","15,300.0","15,800.0","15,200.0","11.00K","2.95%"
"25/08/2023","15,250.0","15,050.0","15,250.0","15,050.0","16.70K","0.00%"
"24/08/2023","15,250.0","15,100.0","15,250.0","15,050.0","5.10K","0.99%"
"23/08/2023","15,100.0","15,500.0","15,500.0","15,100.0","5.00K","-0.66%"
"22/08/2023","15,200.0","15,400.0","15,500.0","15,000.0","24.00K","-1.62%"
"21/08/2023","15,450.0","15,400.0","15,600.0","15,350.0","32.30K","-0.96%"
"18/08/2023","15,600.0","15,600.0","16,250.0","15,400.0","16.20K","-0.95%"
"17/08/2023","15,750.0","15,950.0","15,950.0","15,750.0","13.40K","-1.25%"
"16/08/2023","15,950.0","15,900.0","16,450.0","15,800.0","14.60K","-0.62%"
"15/08/2023","16,050.0","16,100.0","16,100.0","15,950.0","15.40K","-0.31%"
"14/08/2023","16,100.0","16,750.0","16,750.0","15,900.0","18.30K","0.63%"
"11/08/2023","16,000.0","15,850.0","16,100.0","15,800.0","25.00K","0.95%"
"10/08/2023","15,850.0","15,950.0","15,950.0","15,850.0","6.00K","-0.63%"
"09/08/2023","15,950.0","16,000.0","16,000.0","15,850.0","11.30K","-0.31%"
"08/08/2023","16,000.0","16,000.0","16,050.0","15,900.0","12.20K","0.31%"
"07/08/2023","15,950.0","15,900.0","16,000.0","15,700.0","23.20K","0.95%"
"04/08/2023","15,800.0","16,000.0","16,000.0","15,750.0","26.00K","-0.32%"
"03/08/2023","15,850.0","16,100.0","16,100.0","15,750.0","54.40K","-1.55%"
"02/08/2023","16,100.0","16,500.0","16,500.0","16,000.0","29.40K","-0.62%"
"01/08/2023","16,200.0","16,400.0","16,450.0","16,200.0","20.50K","-1.52%"
"31/07/2023","16,450.0","16,700.0","16,700.0","16,450.0","22.70K","-1.50%"
"28/07/2023","16,700.0","16,800.0","16,800.0","16,200.0","22.10K","1.52%"
"27/07/2023","16,450.0","16,700.0","16,700.0","16,250.0","20.00K","-1.79%"
"26/07/2023","16,750.0","16,750.0","16,750.0","16,150.0","59.50K","0.00%"
"25/07/2023","16,750.0","16,950.0","16,950.0","16,500.0","32.70K","-1.47%"
"24/07/2023","17,000.0","17,750.0","17,750.0","16,700.0","102.20K","-31.73%"
"21/07/2023","24,900.0","25,000.0","25,000.0","24,800.0","53.80K","-0.20%"
"20/07/2023","24,950.0","24,900.0","25,100.0","24,850.0","34.00K","0.20%"
"19/07/2023","24,900.0","24,900.0","25,100.0","24,600.0","34.20K","0.00%"
"18/07/2023","24,900.0","25,300.0","25,300.0","24,800.0","22.30K","-0.80%"
"17/07/2023","25,100.0","25,450.0","25,450.0","24,900.0","43.20K","-1.38%"
"14/07/2023","25,450.0","25,600.0","25,800.0","24,650.0","42.60K","3.67%"
"13/07/2023","24,550.0","24,500.0","24,550.0","24,300.0","34.80K","1.87%"
"12/07/2023","24,100.0","23,950.0","24,150.0","23,800.0","45.50K","0.63%"
"11/07/2023","23,950.0","23,900.0","24,200.0","23,800.0","40.70K","0.63%"
"10/07/2023","23,800.0","23,900.0","23,900.0","23,700.0","44.60K","0.42%"
"07/07/2023","23,700.0","23,700.0","23,950.0","23,500.0","54.00K","1.28%"
"06/07/2023","23,400.0","24,000.0","24,000.0","23,400.0","62.20K","-2.30%"
"05/07/2023","23,950.0","25,000.0","25,000.0","23,800.0","80.90K","-0.62%"
"04/07/2023","24,100.0","23,350.0","24,450.0","23,350.0","57.20K","3.43%"
"03/07/2023","23,300.0","23,000.0","23,950.0","23,000.0","13.60K","0.87%"
"30/06/2023","23,100.0","23,300.0","23,300.0","22,800.0","19.60K","-0.86%"
"29/06/2023","23,300.0","23,400.0","23,400.0","23,200.0","16.60K","0.00%"
"28/06/2023","23,300.0","21,900.0","23,300.0","21,850.0","112.90K","6.88%"
"27/06/2023","21,800.0","21,500.0","21,800.0","21,500.0","10.60K","1.40%"
